item,ad_page,ad_order,ad_code,assessment,ad_url,ad_last_updated,old_text,new_text,datetime
236,24,6,AP0081,Default Text Not Found,https://canalpro.grupozap.com/ZAP_OLX/0/listings/update/2567479718,10/11/2022 01:05:20,"Asset imóveis vende apartamento alto padrão, 113 m², Sol da manhã, vista livre,  indevassado, de 3 dormitórios com móveis planejados, , sendo 1 suíte, salão com varanda, lavabo, banheiro social, cozinha mobiliada, lavanderia, quarto de empregada e banheiro de serviço, além de 2 vagas de garagem na escritura. O elegante condomínio oferece piscina adulto e infantil, sauna, SPA, espaço gourmet, sala com brinquedos infantis, salão de jogos, academia e ambiente home office. A localização é privilegiada, no miolo de Icaraí, a poucos passos da Praia, do Campo de São Bento, melhores colégios, padarias, farmácias, mercados e todo tipo de comércio dos shoppings da rua Ator Paulo Gustavo(antiga Moreira César). Aceita financiamento imobiliário.  Vale conferir !","Asset imóveis vende apartamento alto padrão, 113 m², Sol da manhã, vista livre,  indevassado, de 3 dormitórios com móveis planejados, , sendo 1 suíte, salão com varanda, lavabo, banheiro social, cozinha mobiliada, lavanderia, quarto de empregada e banheiro de serviço, além de 2 vagas de garagem na escritura. O elegante condomínio oferece piscina adulto e infantil, sauna, SPA, espaço gourmet, sala com brinquedos infantis, salão de jogos, academia e ambiente home office. A localização é privilegiada, no miolo de Icaraí, a poucos passos da Praia, do Campo de São Bento, melhores colégios, padarias, farmácias, mercados e todo tipo de comércio dos shoppings da rua Ator Paulo Gustavo(antiga Moreira César). Aceita financiamento imobiliário.  Vale conferir ! A Asset Imóveis tem convênio com os maiores Bancos do País para aprovação e condução do seu crédito imobiliário, sem custo pelo serviço.",11/11/2022 21:57:30
237,24,7,CA0014,Default Text Not Found,https://canalpro.grupozap.com/ZAP_OLX/0/listings/update/2567479717,10/11/2022 00:59:12,"Asset imóveis vende ótima casa de 3 quartos, sendo 2 suítes no Bairro Argeu/Fazendinha - itaipu-Niterói-RJ. A casa de 230m2, construída em terreno de 450m2,  apresenta 3 quartos montados, sendo 2 suítes, closet, ampla sala, copa, cozinha planejada tipo americana, banheiro social e de serviço. A área externa oferece piscina, com parte rasa e parte funda, jacuzzi, churrasqueira, forno a lenha, jardim, solarium e garagem para 3 carros. A localização é privilegiada, no Argeu/Fazendinha, próxima ao Condomínio Ubá Fazendinha, da Avenida Central, com todo tipo de comércio e fácil mobilidade, além de acesso rápido às Praias de Itacoatiara e itaipu. Aceita financiamento imobiliário e FGTS.  Vale conferir !","Asset imóveis vende ótima casa de 3 quartos, sendo 2 suítes no Bairro Argeu/Fazendinha - itaipu-Niterói-RJ. A casa de 230m2, construída em terreno de 450m2,  apresenta 3 quartos montados, sendo 2 suítes, closet, ampla sala, copa, cozinha planejada tipo americana, banheiro social e de serviço. A área externa oferece piscina, com parte rasa e parte funda, jacuzzi, churrasqueira, forno a lenha, jardim, solarium e garagem para 3 carros. A localização é privilegiada, no Argeu/Fazendinha, próxima ao Condomínio Ubá Fazendinha, da Avenida Central, com todo tipo de comércio e fácil mobilidade, além de acesso rápido às Praias de Itacoatiara e itaipu. Aceita financiamento imobiliário e FGTS.  Vale conferir ! A Asset Imóveis tem convênio com os maiores Bancos do País para aprovação e condução do seu crédito imobiliário, sem custo pelo serviço.",11/11/2022 21:57:38
238,24,8,AP0145,Default Text Found,https://canalpro.grupozap.com/ZAP_OLX/0/listings/update/2567479716,10/11/2022 01:03:27,"Asset imóveis vende apartamento com 3 dormitórios, sendo 1 suíte, ampla sala, lavabo, cozinha montada, lavanderia, quarto de empregada e banheiro de serviço, além de 1 vaga de garagem na escritura. O Condomínio oferece a segurança da portaria 24h e circuito interno de TV. A localização é privilegiada, na primeira quadra da Praia, na tranquila rua Comendador Queiroz, com toda oferta de comércio e serviços da Ator Paulo Gustavo. Aceita financiamento imobiliário e FGTS. A Asset Imóveis tem convênio com os maiores Bancos do País para aprovação e condução do seu crédito imobiliário, sem custo pelo serviço. Vale conferir!","Asset imóveis vende apartamento com 3 dormitórios, sendo 1 suíte, ampla sala, lavabo, cozinha montada, lavanderia, quarto de empregada e banheiro de serviço, além de 1 vaga de garagem na escritura. O Condomínio oferece a segurança da portaria 24h e circuito interno de TV. A localização é privilegiada, na primeira quadra da Praia, na tranquila rua Comendador Queiroz, com toda oferta de comércio e serviços da Ator Paulo Gustavo. Aceita financiamento imobiliário e FGTS.  Vale conferir!",11/11/2022 21:57:45
239,24,9,AP0114,Default Text Found,https://canalpro.grupozap.com/ZAP_OLX/0/listings/update/2567480124,10/11/2022 01:04:32,"Asset imóveis vende especial apartamento, com projeto de arquiteto, marcenaria Todeschinni,  andar alto, vista livre, Sol da manhã, elevador privativo,  com 3 dormitórios com armários, sendo 1 suíte, ampla sala em 2 ambientes (estar e jantar), varanda, banheiro social, cozinha com móveis planejados, lavanderia, quarto de empregada e banheiro de serviço, além de 2 vagas de garagem na escritura. O Condomínio, de apenas 2 apartamentos por andar, oferece piscina(terminando reforma do deck), sauna, churrasqueira gourmet, play, salão de festas, além da segurança da portaria 24h e circuito interno de TV. A localização é privilegiada, com academia, farmácias, mercado, padaria, colégios, roteiro gastronômico do Jardim Icaraí e Campo de São Bento a poucos passos. Aceita financiamento imobiliário e FGTS. A Asset Imóveis tem convênio com os maiores Bancos do País para aprovação e condução do seu crédito imobiliário, sem custo pelo serviço. Vale conferir !","Asset imóveis vende especial apartamento, com projeto de arquiteto, marcenaria Todeschinni,  andar alto, vista livre, Sol da manhã, elevador privativo,  com 3 dormitórios com armários, sendo 1 suíte, ampla sala em 2 ambientes (estar e jantar), varanda, banheiro social, cozinha com móveis planejados, lavanderia, quarto de empregada e banheiro de serviço, além de 2 vagas de garagem na escritura. O Condomínio, de apenas 2 apartamentos por andar, oferece piscina(terminando reforma do deck), sauna, churrasqueira gourmet, play, salão de festas, além da segurança da portaria 24h e circuito interno de TV. A localização é privilegiada, com academia, farmácias, mercado, padaria, colégios, roteiro gastronômico do Jardim Icaraí e Campo de São Bento a poucos passos. Aceita financiamento imobiliário e FGTS.  Vale conferir !",11/11/2022 21:57:53
240,24,10,AP0030,Default Text Not Found,https://canalpro.grupozap.com/ZAP_OLX/0/listings/update/2567480512,10/11/2022 01:04:40,"Asset Imóveis vende especial apartamento na Edmundo March - Boa Viagem. O imóvel, de generosa planta, 125m², apresenta ampla sala, hall de entrada, 3 quartos com armários, sendo 1 suíte, cozinha planejada, área de serviço com lavanderia toda montada, quarto de empregada mobiliado, banheiro de serviço e garagem na escritura, registrando ainda o ótimo estado de conservação e a qualidade dos móveis. O condomínio oferece churrasqueira, freezer, bancada com pia e banheiro no terraço, além de linda vista.&lt;br&gt;A localização é privilegiada, na melhor rua da Boa Viagem - tranquila, arborizada, a poucos passos da Praia da Boa Viagem, MAC e UFF-Universidade Federal Fluminense, além de fácil acesso para Icaraí e Centro de Niterói. Aceita FGTS e financiamento imobiliário.  Vale conferir !","Asset Imóveis vende especial apartamento na Edmundo March - Boa Viagem. O imóvel, de generosa planta, 125m², apresenta ampla sala, hall de entrada, 3 quartos com armários, sendo 1 suíte, cozinha planejada, área de serviço com lavanderia toda montada, quarto de empregada mobiliado, banheiro de serviço e garagem na escritura, registrando ainda o ótimo estado de conservação e a qualidade dos móveis. O condomínio oferece churrasqueira, freezer, bancada com pia e banheiro no terraço, além de linda vista.&lt;br&gt;A localização é privilegiada, na melhor rua da Boa Viagem - tranquila, arborizada, a poucos passos da Praia da Boa Viagem, MAC e UFF-Universidade Federal Fluminense, além de fácil acesso para Icaraí e Centro de Niterói. Aceita FGTS e financiamento imobiliário.  Vale conferir ! A Asset Imóveis tem convênio com os maiores Bancos do País para aprovação e condução do seu crédito imobiliário, sem custo pelo serviço.",11/11/2022 21:58:01
241,25,1,CO0011,Default Text Not Found,https://canalpro.grupozap.com/ZAP_OLX/0/listings/update/2567480126,10/11/2022 00:58:24,"Asset imóveis vende Cobertura duplex , Sol da manhã, 130 m², vaga na escritura, com 3 dormitórios, distribuído da seguinte forma: 1º Pavimento - sala com varanda, 2 quartos com armários, banheiro social, cozinha montada, lavanderia, quarto empregada e banheiro de serviço. 2º Pavimento - sala, quarto suíte com armário e especial área externa. O Condomínio oferece salão de festas, portaria diurna, circuito interno de TV e portão automático para a garagem. A localização é privilegiada, próxima ao Clube Português,  de mercados, farmácias, padaria e bancos, além da Praia da Boa Viagem. Aceita financiamento imobiliário e FGTS.  Vale conferir !","Asset imóveis vende Cobertura duplex , Sol da manhã, 130 m², vaga na escritura, com 3 dormitórios, distribuído da seguinte forma: 1º Pavimento - sala com varanda, 2 quartos com armários, banheiro social, cozinha montada, lavanderia, quarto empregada e banheiro de serviço. 2º Pavimento - sala, quarto suíte com armário e especial área externa. O Condomínio oferece salão de festas, portaria diurna, circuito interno de TV e portão automático para a garagem. A localização é privilegiada, próxima ao Clube Português,  de mercados, farmácias, padaria e bancos, além da Praia da Boa Viagem. Aceita financiamento imobiliário e FGTS.  Vale conferir ! A Asset Imóveis tem convênio com os maiores Bancos do País para aprovação e condução do seu crédito imobiliário, sem custo pelo serviço.",11/11/2022 21:58:14
242,25,2,AP0124,Default Text Not Found,https://canalpro.grupozap.com/ZAP_OLX/0/listings/update/2567479959,10/11/2022 01:04:49,"Asset imóveis vende apartamento, Sol da manhã, andar alto, com 3 dormitórios, sendo 1 suíte/blindex, banheiro social com armário e blindex, sala com varanda, cozinha montada, lavanderia, além de 1 vaga de garagem na escritura. O Condomínio oferece piscina adulto e infantil, sauna, academia, pista de cooper, ciclovia, salão de festas, salão de jogos, brinquedoteca, bicicletário, além da segurança da portaria 24h e circuito interno de TV. A localização é privilegiada, ao lado do acesso da Ponte Rio-Niterói, do Centro da Cidade, com farmácia, supermercado, bancos e colégios próximos. Aceita financiamento imobiliário e FGTS.  Vale conferir !","Asset imóveis vende apartamento, Sol da manhã, andar alto, com 3 dormitórios, sendo 1 suíte/blindex, banheiro social com armário e blindex, sala com varanda, cozinha montada, lavanderia, além de 1 vaga de garagem na escritura. O Condomínio oferece piscina adulto e infantil, sauna, academia, pista de cooper, ciclovia, salão de festas, salão de jogos, brinquedoteca, bicicletário, além da segurança da portaria 24h e circuito interno de TV. A localização é privilegiada, ao lado do acesso da Ponte Rio-Niterói, do Centro da Cidade, com farmácia, supermercado, bancos e colégios próximos. Aceita financiamento imobiliário e FGTS.  Vale conferir ! A Asset Imóveis tem convênio com os maiores Bancos do País para aprovação e condução do seu crédito imobiliário, sem custo pelo serviço.",11/11/2022 21:58:21
243,25,3,AP0052,Default Text Found,https://canalpro.grupozap.com/ZAP_OLX/0/listings/update/2567479715,10/11/2022 01:05:04,"Asset imóveis vende apartamento, 2 quartos, varanda, vista livre, no Braga, Cabo Frio. O imóvel apresenta 2 quartos, sendo 1 suíte, banheiro social, ampla sala com varanda, cozinha e área de serviço, além de vaga na escritura. O Condomínio oferece circuito interno de TV e churrasqueira. A localização é privilegiada, a 400 metros da Praia das Dunas, 650 metros da Praia do Forte, próximo a hotéis, restaurantes e ao Supermercado Extra. Aceita financiamento imobiliário e FGTS. Estuda proposta. A Asset Imóveis tem convênio com os maiores Bancos do País para aprovação e condução do seu crédito imobiliário, sem custo pelo serviço. Vale conferir ! Agende sua visita.","Asset imóveis vende apartamento, 2 quartos, varanda, vista livre, no Braga, Cabo Frio. O imóvel apresenta 2 quartos, sendo 1 suíte, banheiro social, ampla sala com varanda, cozinha e área de serviço, além de vaga na escritura. O Condomínio oferece circuito interno de TV e churrasqueira. A localização é privilegiada, a 400 metros da Praia das Dunas, 650 metros da Praia do Forte, próximo a hotéis, restaurantes e ao Supermercado Extra. Aceita financiamento imobiliário e FGTS. Estuda proposta.  Vale conferir ! Agende sua visita.",11/11/2022 21:58:28
244,25,4,CA0002,Default Text Found,https://canalpro.grupozap.com/ZAP_OLX/0/listings/update/2567479714,10/11/2022 01:05:12,"Ótima casa em condomínio na região oceânica de Niterói, com 3 quartos, sendo um suíte; ampla sala toda montada (inclusive com bar), e cozinha com armários. Localização privilegiada, em condomínio tranquilo, com todo o comércio, facilidade de locomoção e proximidade às Praias de Itacoatiara e Itaipu. A área de lazer conta com piscina, sauna, churrasqueira e banheiro. Aceita financiamento imobiliário e FGTS, e estuda permuta com apartamento de 3 quartos em Icaraí. A Asset Imóveis tem convênio com os maiores Bancos do País para aprovação e condução do seu crédito imobiliário, sem custo pelo serviço. Vale conferir! Agende sua visita.","Ótima casa em condomínio na região oceânica de Niterói, com 3 quartos, sendo um suíte; ampla sala toda montada (inclusive com bar), e cozinha com armários. Localização privilegiada, em condomínio tranquilo, com todo o comércio, facilidade de locomoção e proximidade às Praias de Itacoatiara e Itaipu. A área de lazer conta com piscina, sauna, churrasqueira e banheiro. Aceita financiamento imobiliário e FGTS, e estuda permuta com apartamento de 3 quartos em Icaraí.  Vale conferir! Agende sua visita.",11/11/2022 21:58:36
245,25,5,AP0086,Default Text Found,https://canalpro.grupozap.com/ZAP_OLX/0/listings/update/2567479713,07/11/2022 16:46:48,"Asset imóveis vende apartamento de 170m², na Ator Paulo Gustavo, Sol da manhã, vista livre. O apartamento apresenta 4 dormitórios montados, sendo 1 suíte, salão de mais de 40m², sala de jantar, banheiro social, cozinha com armários, lavanderia, quarto de empregada e banheiro de serviço, além de 1 vaga de garagem na escritura. O Condomínio oferece salão de festas, play, espaço generoso ao ar livre de frente para a Ator Paulo Gustavo. A localização é privilegiada, na área mais nobre da Rua Ator Paulo Gustavo(entre Otávio Carneiro e Belisário Augusto), a poucos passos da Praia de Icaraí, dos melhores shoppings do bairro e principais colégios. Estuda permuta com apartamento em Piratininga. Aceita financiamento imobiliário e FGTS. A Asset Imóveis tem convênio com os maiores Bancos do País para aprovação e condução do seu crédito imobiliário, sem custo pelo serviço. Vale conferir !","Asset imóveis vende apartamento de 170m², na Ator Paulo Gustavo, Sol da manhã, vista livre. O apartamento apresenta 4 dormitórios montados, sendo 1 suíte, salão de mais de 40m², sala de jantar, banheiro social, cozinha com armários, lavanderia, quarto de empregada e banheiro de serviço, além de 1 vaga de garagem na escritura. O Condomínio oferece salão de festas, play, espaço generoso ao ar livre de frente para a Ator Paulo Gustavo. A localização é privilegiada, na área mais nobre da Rua Ator Paulo Gustavo(entre Otávio Carneiro e Belisário Augusto), a poucos passos da Praia de Icaraí, dos melhores shoppings do bairro e principais colégios. Estuda permuta com apartamento em Piratininga. Aceita financiamento imobiliário e FGTS.  Vale conferir !",11/11/2022 21:58:43
246,25,6,SA0003,Default Text Not Found,https://canalpro.grupozap.com/ZAP_OLX/0/listings/update/2567477082,10/11/2022 01:05:28,"Asset Imóveis vende ótimo conjunto de 3 salas comerciais, com generosa planta de 140 m², toda área com armários planejados e split,  localizada no Condomínio do Edifício Comercial Saint Germain, Centro, Niterói-RJ. A ampla sala montada em dois ambientes, sendo  um com recepção, lavabo,  dois amplos consultórios, sala de esterilização, sala de prótese e área do compressor, e o segundo ambiente, com recepção, lavabo, sala de curso/treinamento e área para coffee break. A localização é privilegiada, sendo ponto central para atendimento de potenciais clientes de toda a Cidade Niterói,  São Gonçalo e Centro do Rio, próxima ao Plaza Shopping, Niterói Shopping, Barcas, Bancos, todo o tipo de comércio, além de bares e restaurantes.  Vale conferir ! Agende sua visita.","Asset Imóveis vende ótimo conjunto de 3 salas comerciais, com generosa planta de 140 m², toda área com armários planejados e split,  localizada no Condomínio do Edifício Comercial Saint Germain, Centro, Niterói-RJ. A ampla sala montada em dois ambientes, sendo  um com recepção, lavabo,  dois amplos consultórios, sala de esterilização, sala de prótese e área do compressor, e o segundo ambiente, com recepção, lavabo, sala de curso/treinamento e área para coffee break. A localização é privilegiada, sendo ponto central para atendimento de potenciais clientes de toda a Cidade Niterói,  São Gonçalo e Centro do Rio, próxima ao Plaza Shopping, Niterói Shopping, Barcas, Bancos, todo o tipo de comércio, além de bares e restaurantes.  Vale conferir ! Agende sua visita. A Asset Imóveis tem convênio com os maiores Bancos do País para aprovação e condução do seu crédito imobiliário, sem custo pelo serviço.",11/11/2022 21:58:52
247,25,7,AP0050,Default Text Not Found,https://canalpro.grupozap.com/ZAP_OLX/0/listings/update/2565665065,10/11/2022 01:05:37,"Asset imóveis vende 3 quartos, sendo 1 com suíte e varanda e vista parcial para Praia de Icaraí.  O imóvel apresenta ampla sala com 2 ambientes, varanda, 3 quartos, sendo 2 com armários, 1 suíte, banheiro social, cozinha montada para toda a família, lavanderia, quarto de empregada e banheiro de serviço, além de vaga de garagem na escritura. O condomínio oferece 2 piscinas, adulto e infantil, sauna, churrasqueira, salão de festas e jogos.  Vale conferir !","Asset imóveis vende 3 quartos, sendo 1 com suíte e varanda e vista parcial para Praia de Icaraí.  O imóvel apresenta ampla sala com 2 ambientes, varanda, 3 quartos, sendo 2 com armários, 1 suíte, banheiro social, cozinha montada para toda a família, lavanderia, quarto de empregada e banheiro de serviço, além de vaga de garagem na escritura. O condomínio oferece 2 piscinas, adulto e infantil, sauna, churrasqueira, salão de festas e jogos.  Vale conferir ! A Asset Imóveis tem convênio com os maiores Bancos do País para aprovação e condução do seu crédito imobiliário, sem custo pelo serviço.",11/11/2022 21:58:59
